problem,N,repeat,method,sigma,n_samples,converged,termination,termination_status,termination_message,n_iter,n_fev,max_iter,max_fun,n_nonfinite,train_variance,train_objective,train_data,train_kl,fresh_objective,fresh_data,fresh_kl,fit_time,rmse,coverage_95.45,width_95.45,coverage_99.9,width_99.9,interval_score,nll,zero_density,nll_floor,pp_area_signed,pp_area_abs,pit_area_signed,pit_area_abs
burgers,8,0,Ellipse+PAC,,,True,closed_form,,,,,,,,,,,,,,,0.3125510001555085,0.0860492475343484,0.9572916666666668,0.5513532612827352,0.9984375,1.5451429894970756,0.7838485511358027,-1.2387368258902964,0.0,-1.232209597698557,-0.1722955195106434,0.1722955195106434,0.0049398483989185,0.0716276194490075
burgers,8,1,Ellipse+PAC,,,True,closed_form,,,,,,,,,,,,,,,0.4923382089473307,0.1192712905413006,0.990625,1.4941719493157,0.9973958333333331,2.521806014823428,1.5420901554640682,inf,0.0005208333333333,-1.0175023871272135,-0.1437364249753983,0.1437364249753983,-0.0049878067924196,0.065543260491527
burgers,8,2,Ellipse+PAC,,,True,closed_form,,,,,,,,,,,,,,,0.3194196247495711,0.1281861823353012,0.9765625,1.5534834994545372,0.9911458333333334,2.464188189614704,1.623606917158178,inf,0.0046875,-0.3831215758907583,-0.2185276752043798,0.2185276752043798,0.0051234223054105,0.1224087810697781
burgers,8,3,Ellipse+PAC,,,True,closed_form,,,,,,,,,,,,,,,0.3633595420978963,0.0894165914520887,0.9963541666666668,1.1971843755985438,0.996875,1.9592368135872056,1.230028991256713,inf,0.0005208333333333,-0.8939886635191514,-0.18670724020993,0.18670724020993,0.0023764988914964,0.1133786169176049
burgers,8,4,Ellipse+PAC,,,True,closed_form,,,,,,,,,,,,,,,0.4565218333154917,0.1128322017848725,0.984375,0.9331969693934928,0.9932291666666668,1.5310681331953346,0.9945823476087264,inf,0.003125,-1.0080706455631452,-0.1282628303098745,0.1282628303098745,0.0026479293658259,0.0609367010002168
burgers,8,5,Ellipse+PAC,,,True,closed_form,,,,,,,,,,,,,,,0.4737197919748723,0.0868531251677762,0.9916666666666668,0.6774256965806835,1.0,1.4704416467243462,0.6940423483771607,-1.315554619199813,0.0,-1.3065526974393482,-0.1077592648393854,0.1077592648393854,-0.00062970693141,0.0871049563159732
burgers,8,6,Ellipse+PAC,,,True,closed_form,,,,,,,,,,,,,,,0.4386185840703547,0.1419254746432127,0.9239583333333332,0.7384149605528194,0.9651041666666668,1.2428077550337138,0.957289162248514,inf,0.0083333333333333,-1.0888314281574092,-0.0410328875645031,0.0410328875645031,0.0053184095873093,0.0679328961510227
burgers,8,7,Ellipse+PAC,,,True,closed_form,,,,,,,,,,,,,,,0.4473027908243239,0.1219002844662442,0.8380208333333334,0.3153200477695494,0.9411458333333332,0.5203169454321903,0.9510989896805202,inf,0.0255208333333333,-0.8870243525702624,-0.0081758107079715,0.0122585594931539,0.0079815353921522,0.0396771604195667
burgers,8,8,Ellipse+PAC,,,True,closed_form,,,,,,,,,,,,,,,0.2197362091392278,0.0819215016343995,0.9854166666666668,0.8496841785302838,0.9947916666666669,1.4182131046270303,0.9095994329296602,inf,0.0010416666666666,-1.314615240138668,-0.1578994878127425,0.1578994878127425,0.0030865077427815,0.1046503093278165
burgers,8,9,Ellipse+PAC,,,True,closed_form,,,,,,,,,,,,,,,0.3057022499851882,0.0755510085630329,0.9921875,0.784670035294038,1.0,2.3301478453658575,0.8148823518101554,-1.4996819474773428,0.0,-1.490579583771209,-0.1435481929773573,0.1435481929773573,0.0041039220581928,0.0878307324188966
burgers,8,10,Ellipse+PAC,,,True,closed_form,,,,,,,,,,,,,,,0.3335705418139696,0.1026141415429132,1.0,2.7055979883266765,1.0,4.517721802382684,2.7055979883266765,-0.7522324990360976,0.0,-0.7435179436810745,-0.2116935804148441,0.2116935804148441,0.0022462890748436,0.1251483453553389
burgers,8,11,Ellipse+PAC,,,True,closed_form,,,,,,,,,,,,,,,0.4093084163032472,0.1110025988704049,0.9958333333333332,0.8851410060651423,0.9989583333333334,1.6610995596148372,0.9008020232277414,-0.807959972870809,0.0,-0.80069772620068,-0.0763808388174639,0.0763808388174639,-0.0010538360219633,0.0614079068426272
burgers,8,12,Ellipse+PAC,,,True,closed_form,,,,,,,,,,,,,,,0.4418566250242293,0.1186207009257503,0.9515625,1.1475601943262732,0.9890625,2.0300930278987668,1.3378619952375908,inf,0.0036458333333333,-0.5899070429077464,-0.2221950117743683,0.2221950117743683,0.0001082862658173,0.1117429831538226
burgers,8,13,Ellipse+PAC,,,True,closed_form,,,,,,,,,,,,,,,0.5088179162703454,0.0893354826300444,0.9703125,0.8373124028413639,0.9796875,1.401661814614546,0.9729130958150668,inf,0.00625,-0.8934114387853576,-0.1846302339760711,0.1846302339760711,-0.0002872924710061,0.1219586115643468
