problem,size,seed,method,n_rows,n_units,n_params,units_per_param,failed,fit_time,rmse,coverage_95.45,width_95.45,coverage_99.9,width_99.9,interval_score,nll,zero_density,nll_floor,bound,trivial_bound,lam,empirical,monte_carlo,kl,complexity,concentration,mixture_empirical,outside_support_fraction,pac_test_risk,pvi_lam,converged,n_nonfinite
burgers,16.0,16,Ellipse+PAC (free center),48,16,8,2.0,False,0.267960709054023,0.075667191253494,0.9515625,0.3445196807077,0.98125,0.5891333943168938,0.5725352822050683,inf,0.0067708333333333,-1.5807061228706367,4.444291347247253,5.560681631015528,3.0,-1.3768494128979891,0.0453831321125902,2.8975119716033264,5.775757628032652,0.0,-1.5119397512082298,0.01159375,,,,
burgers,16.0,17,Bayesian ridge,48,16,8,2.0,False,0.0007557091303169,0.0651851793717607,0.7,0.0714800810162041,0.8635416666666667,0.1176034149710445,0.7122844531825041,12.692629445633322,0.0,-1.3828569363090684,,,,,,,,,,,,,,
burgers,16.0,17,POPS hypercube,48,16,8,2.0,False,0.1869087917730212,0.0651851793717607,0.6296875,0.1634022472903919,0.8604166666666667,0.2024297501937704,0.5733411014707294,,,,,,,,,,,,,,,,,
burgers,16.0,17,POPS ellipse,48,16,8,2.0,False,0.0068570831790566,0.0651851793717607,0.9296875,0.2262013779479591,0.9765625,0.3132223754748445,0.3127187588898686,inf,0.0119791666666666,-1.911435079834113,,,,,,,,,,,,,,
burgers,16.0,17,Ellipse+EB,48,16,8,2.0,False,0.0076096672564744,0.0651851793717607,0.9869791666666666,0.2580917318196304,0.9927083333333332,0.3821003531436134,0.3182611123767399,inf,0.003125,-1.932084268591048,,,,,,,,,,,,,,
burgers,16.0,17,Ellipse+PAC,48,16,8,2.0,False,0.2566032498143613,0.0664574002748988,0.9786458333333332,0.3162625319219264,0.996875,0.6187926394602167,0.3743597261434374,inf,0.0010416666666666,-1.7399714749999342,3.932161978000379,5.560681631015528,2.5,-1.6391371853512926,0.0342503302586621,1.1259241788077117,5.53704883309301,0.0,-1.6709444347677866,0.0095208333333333,-1.7322800894888644,,,
burgers,16.0,17,Bayesian stacking,48,16,8,2.0,False,0.0133710838854312,0.0722877661760864,0.8572916666666667,0.1736689581377475,0.9286458333333332,0.2502689737575003,0.648203598434992,-0.2118864120419198,0.0,-1.7053585339149115,,,,,,,,,,,,,,
burgers,16.0,17,PVI,48,16,8,2.0,False,1.9897142918780448,0.0729097741525165,0.9098958333333332,0.3092791040604584,0.9557291666666666,0.5088449579184107,0.5045167181421001,-1.1566031851599392,0.0,-1.5735698094835036,,,,,,,,,,,,0.0,True,
burgers,16.0,17,PVI (lamb=1),48,16,8,2.0,False,2.6090677501633763,0.0702559757620548,0.9177083333333332,0.3150269905910076,0.9645833333333332,0.5183017335018826,0.4895935319318599,-1.4184471344105811,0.0,-1.6271069817672057,,,,,,,,,,,,1.0,True,
burgers,16.0,17,POPS ellipse (free center),48,16,8,2.0,False,0.0090460418723523,0.0666737590481247,0.940625,0.2245731464560589,0.9713541666666666,0.3109677537729675,0.3083432805067347,inf,0.0125,-1.9266798436095072,,,,,,,,,,,,,,
